time(ms),Pos1_act(mm),Pos2_act(mm),Pos3_act(mm),Pos4_act(deg),Pos5_act(deg),Pos6_act(deg),Force_x(N),Force_y(N),Force_z(N),Torque_x(Nmm),Torque_y(Nmm),Torque_z(Nmm),vz_mms(mm/s),PID_error_chamber(N),P_AO_chamber(MPa),V_AO_chamber(V),P_AO_spindle(MPa),V_AO_spindle(V),P_AI_chamber(MPa),V_AI_chamber(V),P_AI_spindle(MPa),V_AI_spindle(V),RL_pressure(MPa),RL_confirm_flag,RL_episode_flag
7.8038,-253.741,366.682,443.262,70.062,-179.878,-108.534,-0.0423867,-0.0295723,0.02933,-0.0040493,0.000674178,-0.00243639,-2.4e-12,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
14.2563,-253.741,366.683,443.262,70.0619,-179.878,-108.534,-0.0351824,-0.0417186,0.0824438,-0.00393496,-0.000252764,-0.00302392,-9.43208e-05,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
15.274,-253.74,366.682,443.263,70.0188,-179.878,-108.577,-0.0292948,-0.0517798,0.108783,-0.0034417,-0.000353821,-0.00302447,-0.000320957,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
16.4577,-253.74,366.682,443.263,70.0188,-179.878,-108.577,-0.0285991,-0.0532011,0.111903,-0.00333817,-0.000287464,-0.00299113,-0.00036891,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
18.7113,-253.74,366.682,443.263,70.0188,-179.878,-108.577,-0.0279777,-0.0545538,0.114692,-0.0032295,-0.000199901,-0.00294936,-0.000429281,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
21.0257,-253.74,366.683,443.262,70.0618,-179.878,-108.534,-0.0269158,-0.0570694,0.119413,-0.00299807,3.4843e-05,-0.00284214,-0.000558095,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
22.3902,-253.74,366.683,443.262,70.0618,-179.878,-108.534,-0.0251317,-0.0605702,0.126182,-0.00262479,0.00041709,-0.00267105,-0.000707532,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
23.5932,-253.74,366.683,443.262,70.0618,-179.878,-108.534,-0.0244316,-0.0616839,0.128521,-0.00249589,0.00051778,-0.0026256,-0.000806301,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
25.0907,-253.741,366.683,443.262,70.0619,-179.878,-108.534,-0.0236837,-0.0627711,0.130895,-0.00236517,0.000604566,-0.00258613,-0.000893179,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
26.3722,-253.741,366.683,443.262,70.0619,-179.878,-108.534,-0.0220553,-0.0648665,0.135733,-0.0020991,0.000738503,-0.00252431,-0.00101285,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
27.9905,-253.74,366.683,443.262,70.0618,-179.878,-108.534,-0.0211803,-0.065875,0.138189,-0.00196414,0.000786665,-0.00250152,-0.00111944,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
