time(ms),Pos1_act(mm),Pos2_act(mm),Pos3_act(mm),Pos4_act(deg),Pos5_act(deg),Pos6_act(deg),Force_x(N),Force_y(N),Force_z(N),Torque_x(Nmm),Torque_y(Nmm),Torque_z(Nmm),vz_mms(mm/s),PID_error_chamber(N),P_AO_chamber(MPa),V_AO_chamber(V),P_AO_spindle(MPa),V_AO_spindle(V),P_AI_chamber(MPa),V_AI_chamber(V),P_AI_spindle(MPa),V_AI_spindle(V),RL_pressure(MPa),RL_confirm_flag,RL_episode_flag
8.3228,-253.74,366.683,443.264,70.8582,-179.879,-107.74,-0.0610396,0.0295241,-0.0418704,0.000893993,0.00521633,0.0044412,-1.66667e-12,0,0.2,5,0,0,0.199359,4.98397,0.000244675,0.00407791,0,0,0
9.1011,-253.739,366.684,443.264,70.858,-179.879,-107.74,-0.044286,0.0161439,-0.0181228,0.000275891,0.00390052,0.00372878,-0.000107934,0,0.2,5,0,0,0.199359,4.98397,0.000244675,0.00407791,0,0,0
12.9516,-253.739,366.684,443.264,70.858,-179.879,-107.74,-0.0420746,0.0145723,-0.0151811,0.000224786,0.00371191,0.0036355,-0.000129646,0,0.2,5,0,0,0.199359,4.98397,0.000244675,0.00407791,0,0,0
13.7897,-253.74,366.684,443.264,70.8581,-179.879,-107.74,-0.0348536,0.00850853,-0.00771883,6.73459e-05,0.00310716,0.00328177,-0.00026661,0,0.2,5,0,0,0.199359,4.98397,0.000244675,0.00407791,0,0,0
17.2672,-253.74,366.684,443.264,70.8581,-179.879,-107.74,-0.0336727,0.00704718,-0.00742392,3.84907e-05,0.00301695,0.00320147,-0.000302901,0,0.2,5,0,0,0.199503,4.98759,0.000284156,0.00473593,0,0,0
18.2204,-253.74,366.683,443.264,70.8582,-179.879,-107.74,-0.0315194,0.00280084,-0.00998827,-2.5314e-05,0.00288199,0.00297966,-0.000478715,0,0.2,5,0,0,0.199503,4.98759,0.000284156,0.00473593,0,0,0
19.3995,-253.74,366.684,443.264,70.8581,-179.879,-107.74,-0.031234,0.00143251,-0.011908,-3.94693e-05,0.00287914,0.00291187,-0.000533626,0,0.2,5,0,0,0.199503,4.98759,0.000284156,0.00473593,0,0,0
20.8048,-253.74,366.684,443.264,70.8581,-179.879,-107.74,-0.0311498,8.82343e-05,-0.0143192,-5.02985e-05,0.00289587,0.00284703,-0.00060636,0,0.2,5,0,0,0.199503,4.98759,0.000284156,0.00473593,0,0,0
21.4628,-253.739,366.684,443.264,70.858,-179.879,-107.74,-0.0311053,-0.00266435,-0.0194939,-5.26775e-05,0.00296803,0.002714,-0.000697857,0,0.2,5,0,0,0.199503,4.98759,0.000284156,0.00473593,0,0,0
22.2608,-253.739,366.684,443.264,70.858,-179.879,-107.74,-0.0308744,-0.00415043,-0.0216259,-3.88844e-05,0.00301234,0.00263885,-0.000745117,0,0.2,5,0,0,0.199503,4.98759,0.000284156,0.00473593,0,0,0
