episode,reward
1,1163.5171500443696
2,1304.8598049148184
3,1145.4109633695819
4,975.0582702251365
5,-4192.495166351356
6,2657.060243255126
7,1662.5711742299407
8,1019.1684332711594
9,1997.9016488990674
10,1533.7183858761757
11,1166.1561497044595
12,1166.5460272962857
13,1822.9592034507464
14,2800.324097493182
15,1593.714672976384
16,2074.0660182924566
17,-389.7231549598368
18,-418.44639800806584
19,-270.6966137493231
20,-236.85431396966516
21,-200.32718491710517
22,-190.5595603893529
